,ER_accuracy,ER_precision,ER_recall,ER_f1,ER_auc,PR_accuracy,PR_precision,PR_recall,PR_f1,PR_auc,HER2_accuracy,HER2_precision,HER2_recall,HER2_f1,HER2_auc,accuracy_all,precision_all,recall_all,f1_all,auc_all,composite_score
trial_32,0.5,0.5,1.0,0.6666666865348816,0.7916666865348816,0.3333333432674408,0.3333333432674408,1.0,0.5,0.796875,0.375,0.0,0.0,0.0,0.7481482028961182,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.7788966298103333,0.7635224163532257
trial_46,0.5,0.5,1.0,0.6666666865348816,0.763888955116272,0.3333333432674408,0.3333333432674408,1.0,0.5,0.77734375,0.375,0.0,0.0,0.0,0.7592593431472778,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.7668306827545166,0.7630450129508972
trial_27,0.5,0.5,1.0,0.6666666865348816,0.7604166865348816,0.3333333432674408,0.3333333432674408,1.0,0.5,0.7421875,0.375,0.0,0.0,0.0,0.8444444537162781,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.7823495268821716,0.7622685134410858
trial_43,0.5,0.5,1.0,0.6666666865348816,0.7881944179534912,0.3333333432674408,0.3333333432674408,1.0,0.5,0.76953125,0.375,0.0,0.0,0.0,0.7481482028961182,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.7686246037483215,0.7583864033222198
trial_42,0.5,0.5,1.0,0.6666666865348816,0.8645833730697632,0.3333333432674408,0.3333333432674408,1.0,0.5,0.75390625,0.375,0.0,0.0,0.0,0.7111110687255859,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.7765335440635681,0.743822306394577
trial_31,0.5,0.5,1.0,0.6666666865348816,0.78125,0.3333333432674408,0.3333333432674408,1.0,0.5,0.7265625,0.375,0.0,0.0,0.0,0.762963056564331,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.7569251656532288,0.7417438328266144
trial_16,0.5,0.5,1.0,0.6666666865348816,0.7604166865348816,0.3333333432674408,0.3333333432674408,1.0,0.5,0.71484375,0.375,0.0,0.0,0.0,0.7592592835426331,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.7448399066925049,0.7298418283462524
trial_37,0.5,0.5,1.0,0.6666666865348816,0.7777777910232544,0.3333333432674408,0.3333333432674408,1.0,0.5,0.7109375,0.375,0.0,0.0,0.0,0.7518518567085266,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.7468557357788086,0.7288966178894043
trial_44,0.5,0.5,1.0,0.6666666865348816,0.7326388359069824,0.3333333432674408,0.3333333432674408,1.0,0.5,0.703125,0.375,0.0,0.0,0.0,0.7777777314186096,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.7378472089767456,0.7204861044883728
trial_41,0.5,0.5,1.0,0.6666666865348816,0.7256945371627808,0.3333333432674408,0.3333333432674408,1.0,0.5,0.7109375,0.375,0.0,0.0,0.0,0.729629635810852,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.7220872044563293,0.7165123522281647
trial_24,0.5,0.5,1.0,0.6666666865348816,0.7222222685813904,0.3333333432674408,0.3333333432674408,1.0,0.5,0.69921875,0.375,0.0,0.0,0.0,0.7481481432914734,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.7231963872909546,0.7112075686454773
trial_10,0.5,0.5,1.0,0.6666666865348816,0.7222222089767456,0.3333333432674408,0.3333333432674408,1.0,0.5,0.7109375,0.375,0.0,0.0,0.0,0.7074074149131775,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.7135223746299744,0.7104648947715759
trial_36,0.5,0.5,1.0,0.6666666865348816,0.8854166865348816,0.3333333432674408,0.3333333432674408,1.0,0.5,0.72265625,0.375,0.0,0.0,0.0,0.6518518924713135,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.7533082962036133,0.7025800943374634
trial_28,0.5,0.5,1.0,0.6666666865348816,0.763888955116272,0.3333333432674408,0.3333333432674408,1.0,0.5,0.671875,0.375,0.0,0.0,0.0,0.7629629373550415,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.7329089641571045,0.7023919820785522
trial_47,0.5,0.5,1.0,0.6666666865348816,0.7847222089767456,0.3333333432674408,0.3333333432674408,1.0,0.5,0.671875,0.375,0.0,0.0,0.0,0.7037036418914795,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.7201002836227417,0.6959876418113708
trial_23,0.5,0.5,1.0,0.6666666865348816,0.6909722089767456,0.3333333432674408,0.3333333432674408,1.0,0.5,0.7109375,0.375,0.0,0.0,0.0,0.7000000476837158,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.7006365656852722,0.6958043873310089
trial_22,0.5,0.5,1.0,0.6666666865348816,0.756944477558136,0.3333333432674408,0.3333333432674408,1.0,0.5,0.65625,0.375,0.0,0.0,0.0,0.7592592835426331,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.7241512537002563,0.6902006268501282
trial_40,0.5,0.5,1.0,0.6666666865348816,0.6423611044883728,0.3333333432674408,0.3333333432674408,1.0,0.5,0.80078125,0.375,0.0,0.0,0.0,0.7481481432914734,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.7304301857948303,0.6863956451416016
trial_15,0.5,0.5,1.0,0.6666666865348816,0.6631944179534912,0.3333333432674408,0.3333333432674408,1.0,0.5,0.734375,0.5416666865348816,0.6111111044883728,0.7333333492279053,0.6666666865348816,0.6629629731178284,0.4583333432674408,0.48148149251937866,0.9111111164093018,0.6111111044883728,0.6868441104888916,0.67490354180336
trial_48,0.5,0.5,1.0,0.6666666865348816,0.6666666269302368,0.3333333432674408,0.3333333432674408,1.0,0.5,0.69140625,0.75,0.7142857313156128,1.0,0.8333333134651184,0.6777777671813965,0.5277777910232544,0.5158730149269104,1.0,0.6666666865348816,0.6786168813705444,0.6726417541503906
trial_45,0.5,0.5,1.0,0.6666666865348816,0.6388888955116272,0.3333333432674408,0.3333333432674408,1.0,0.5,0.76171875,0.375,0.0,0.0,0.0,0.7148147821426392,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.7051408290863037,0.6720148622989655
trial_19,0.5,0.5,1.0,0.6666666865348816,0.65625,0.3333333432674408,0.3333333432674408,1.0,0.5,0.69140625,0.625,0.625,1.0,0.7692307829856873,0.7037037014961243,0.4861111044883728,0.4861111044883728,1.0,0.6452991366386414,0.6837866306304932,0.6700183153152466
trial_5,0.5,0.5,1.0,0.6666666865348816,0.7986111044883728,0.3333333432674408,0.3333333432674408,1.0,0.5,0.80078125,0.625,0.625,1.0,0.7692307829856873,0.6000000238418579,0.4861111044883728,0.4861111044883728,1.0,0.6452991366386414,0.7331308126449585,0.6665654182434082
trial_8,0.5,0.5,1.0,0.6666666865348816,0.6388888359069824,0.3333333432674408,0.3333333432674408,1.0,0.5,0.703125,0.375,0.0,0.0,0.0,0.6888889074325562,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.6769675612449646,0.6579281985759735
trial_11,0.5,0.5,1.0,0.6666666865348816,0.6597222685813904,0.3333333432674408,0.3333333432674408,1.0,0.5,0.625,0.375,0.0,0.0,0.0,0.7444444298744202,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.6763889193534851,0.6506944596767426
trial_26,0.5,0.5,1.0,0.6666666865348816,0.8055555820465088,0.3333333432674408,0.3333333432674408,1.0,0.5,0.59375,0.625,0.625,1.0,0.7692307829856873,0.6481481790542603,0.4861111044883728,0.4861111044883728,1.0,0.6452991366386414,0.6824845671653748,0.6381172835826874
trial_35,0.5,0.5,1.0,0.6666666865348816,0.7152777910232544,0.3333333432674408,0.3333333432674408,1.0,0.5,0.65625,0.375,0.0,0.0,0.0,0.6111111044883728,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.6608796119689941,0.6359953582286835
trial_4,0.5,0.5,1.0,0.6666666865348816,0.6805554628372192,0.3333333432674408,0.3333333432674408,1.0,0.5,0.734375,0.625,0.625,1.0,0.7692307829856873,0.5888888835906982,0.4861111044883728,0.4861111044883728,1.0,0.6452991366386414,0.6679397821426392,0.6284143328666687
trial_21,0.5,0.5,1.0,0.6666666865348816,0.6111111044883728,0.3333333432674408,0.3333333432674408,1.0,0.5,0.625,0.375,0.0,0.0,0.0,0.6370370388031006,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.624382734298706,0.6177469193935394
trial_1,0.5,0.5,1.0,0.6666666865348816,0.7465277910232544,0.3333333432674408,0.3333333432674408,1.0,0.5,0.6484375,0.625,0.625,1.0,0.7692307829856873,0.5740740895271301,0.4861111044883728,0.4861111044883728,1.0,0.6452991366386414,0.6563464403152466,0.6152102649211884
trial_0,0.6666666865348816,0.6000000238418579,1.0,0.75,0.7847222089767456,0.3333333432674408,0.3333333432674408,1.0,0.5,0.68359375,0.4166666567325592,1.0,0.06666667014360428,0.125,0.5518518090248108,0.472222238779068,0.644444465637207,0.6888889074325562,0.4583333432674408,0.6733892560005188,0.6126205325126648
trial_38,0.5,0.5,1.0,0.6666666865348816,0.5833333730697632,0.3333333432674408,0.3333333432674408,1.0,0.5,0.63671875,0.625,0.625,1.0,0.7692307829856873,0.6666666865348816,0.4861111044883728,0.4861111044883728,1.0,0.6452991366386414,0.62890625,0.6061198115348816
trial_13,0.5,0.5,1.0,0.6666666865348816,0.6145833134651184,0.3333333432674408,0.3333333432674408,1.0,0.5,0.57421875,0.625,0.625,1.0,0.7692307829856873,0.7148148417472839,0.4861111044883728,0.4861111044883728,1.0,0.6452991366386414,0.6345389485359192,0.6043788492679596
trial_12,0.5,0.5,1.0,0.6666666865348816,0.5937500596046448,0.3333333432674408,0.3333333432674408,1.0,0.5,0.5625,0.375,0.0,0.0,0.0,0.7814815044403076,0.4027777910232544,0.2777777910232544,0.6666666865348816,0.3888888955116272,0.6459105014801025,0.6042052507400513
trial_14,0.5,0.5,1.0,0.6666666865348816,0.6180555820465088,0.3333333432674408,0.3333333432674408,1.0,0.5,0.60546875,0.625,0.625,1.0,0.7692307829856873,0.5740740895271301,0.4861111044883728,0.4861111044883728,1.0,0.6452991366386414,0.5991994738578796,0.5866367816925049
trial_2,0.5,0.5,1.0,0.6666666865348816,0.5173611640930176,0.3333333432674408,0.3333333432674408,1.0,0.5,0.5234375,0.625,0.625,1.0,0.7692307829856873,0.5962963104248047,0.4861111044883728,0.4861111044883728,1.0,0.6452991366386414,0.545698344707489,0.5315297544002533
